HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-348.5905522133,-348.5905522135,-348.5905522134,-350.8925957244,-350.8925957244,-350.8925957243
-344.2891889831,-344.2891889831,-344.2891889831,-346.3510631996,-346.3510631998,-346.3510631997
-348.6028822602,-348.6028822617,-348.6028822601,-350.8985891397,-350.8985891385,-350.8985891395
-348.6154579045,-348.6154579043,-348.6154579040,-350.9102324100,-350.9102324101,-350.9102324100
-309.5767250880,-309.5767250880,-309.5767250880,-311.5940034685,-311.5940034686,-311.5940034685
-192.4890290741,-192.4890290741,-192.4890290740,-193.6861660014,-193.6861660015,-193.6861660021
-194.5239624657,-194.5239624657,-194.5239624655,-195.8663000363,-195.8663000367,-195.8663000357
-312.8210344920,-312.8210344920,-312.8210344918,-315.0378728193,-315.0378728193,-315.0378728193
-309.6030218359,-309.6030218359,-309.6030218359,-311.6131370242,-311.6131370241,-311.6131370056
-383.3030500264,-383.3030500263,-383.3030500261,-385.6459718414,-385.6459718414,-385.6459718413
-305.2438653469,-305.2438653468,-305.2438653467,-307.0295423682,-307.0295423682,-307.0295423680
-227.1526392674,-227.1583443460,-227.1583443460,-228.3701600546,-228.3750030918,-228.3750030853
-231.5445571405,-231.5445571405,-231.5445571403,-233.0006826717,-233.0006826718,-233.0006826717
-309.5992892307,-309.5992892307,-309.5992892305,-311.6220565170,-311.6220565169,-311.6220565169
-194.4266948719,-194.4266948720,-194.4266948718,-195.7574117410,-195.7574117410,-195.7574117405
-270.5591167313,-270.5591167313,-270.5591167311,-272.3044214749,-272.3044214748,-272.3044214748
-347.4621569780,-347.4621569781,-347.4621569779,-349.7262712432,-349.7262712384,-349.7262712431
-312.8209825515,-312.8209825514,-312.8209825513,-315.0380433106,-315.0380433107,-315.0380433106
-153.4589160768,-153.4589160769,-153.4589160767,-154.3713523080,-154.3713523080,-154.3713523080
-234.7504044468,-234.7504044469,-234.7504044468,-236.4161228083,-236.4161228083,-236.4161228082
-345.3328093802,-345.3328093802,-345.3328093801,-347.4524653436,-347.4524653441,-347.4524653439
-234.7225635116,-234.7225635115,-234.7225635115,-236.3821139825,-236.3821139825,-236.3821139823
-234.7498336562,-234.7498336563,-234.7498336562,-236.4126418740,-236.4126418740,-236.4126418740
-312.7782142648,-312.7782142647,-312.7782142648,-314.9966767066,-314.9966767063,-314.9966767066
-194.5563780463,-194.5563780462,-194.5563780462,-195.8988793394,-195.8988793434,-195.8988793431
-309.5992914655,-309.5992914654,-309.5992914652,-311.6220561334,-311.6220561333,-311.6220561333
-234.7532714988,-234.7532714988,-234.7532714988,-236.4180933061,-236.4180933061,-236.4180933061
-344.3030003209,-344.3030003208,-344.3030003209,-346.3621537777,-346.3621537779,-346.3621537778
-344.2193184295,-344.2193184270,-344.2193184307,-346.1990259561,-346.1990259561,-346.1990259561
-273.7894235077,-273.7894235077,-273.7894235077,-275.7313722876,-275.7313722876,-275.7313722876
-348.6457185699,-348.6457185698,-348.6457185700,-350.9484449753,-350.9484449753,-350.9484449753
-231.5331337586,-231.5331337587,-231.5331337587,-233.0077654472,-233.0077654469,-233.0077654478
-231.5330619464,-231.5330619464,-231.5330619462,-232.9997049415,-232.9997049415,-232.9997049415
