HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-309.5110703251,-309.5110703250,-309.5110703249,-311.5721234668,-311.5721234677,-311.5721234678
-273.6144532860,-273.6144532860,-273.6144532859,-275.5933086891,-275.5933086891,-275.5933086892
-270.4033183165,-270.4033183164,-270.4033183165,-272.1859721237,-272.1859721251,-272.1859721244
-348.5033439236,-348.5033439236,-348.5033439235,-350.8415549458,-350.8415549459,-350.8415549459
-191.2490714458,-191.2490714456,-191.2490714457,-192.4221329712,-192.4221329711,-192.4221329710
-312.5215497247,-312.5215497249,-312.5215497247,-314.7917570821,-314.7917570826,-314.7917570826
-348.5289403004,-348.5289403005,-348.5289403004,-350.8476591836,-350.8476591837,-350.8476591835
-348.4512098895,-348.4519504865,-348.4519504865,-350.7818615040,-350.7818615040,-350.7818615039
-348.4540437087,-348.4540437085,-348.4540437085,-350.7996145691,-350.7996145684,-350.7996145688
-344.1303303929,-344.1303303929,-344.1303303929,-346.2320624837,-346.2320624838,-346.2320624841
-348.5066628155,-348.5066628155,-348.5066628154,-350.8261151368,-350.8261151365,-350.8261151367
-348.5273830062,-348.5273830061,-348.5273830062,-350.8454743270,-350.8454743272,-350.8454743272
-309.4801302112,-309.4801302111,-309.4801302112,-311.5174423205,-311.5174423200,-311.5174423206
-192.1902678675,-192.1902678675,-192.1902678674,-193.4284466094,-193.4284466095,-193.4284466093
-194.4334274902,-194.4334274903,-194.4334274902,-195.7933117131,-195.7933117129,-195.7933117129
-312.6881367842,-312.6881367843,-312.6881367841,-314.9408505356,-314.9408505351,-314.9408505353
-309.4610211647,-309.4610211647,-309.4610211645,-311.5258727397,-311.5258727396,-311.5258727390
-383.0723871294,-383.0723871296,-383.0723871297,-385.4552111281,-385.4552111281,-385.4552111280
-305.1837507997,-305.1837507997,-305.1837507997,-306.9875844442,-306.9875844442,-306.9875844440
